year_month;community;zone;is_freehold;secondary_price_per_sqft_usd;secondary_price_per_m2_usd;offplan_price_per_sqft_usd;rental_price_per_sqft_annual_usd;n_listings_secondary;n_listings_offplan;n_listings_rental;cbuae_base_rate_pct;avg_mortgage_rate_pct
2020-01;Palm Jumeirah;Palm Jumeirah;TRUE;662;7126;31,33;43;26;72;111;0,05;03.00
2020-02;Palm Jumeirah;Palm Jumeirah;TRUE;666;7167;30,33;43;64;78;45;01.05;03.00
2020-03;Palm Jumeirah;Palm Jumeirah;TRUE;703;7564;31,75;46;144;71;99;01.05;03.00
2020-04;Palm Jumeirah;Palm Jumeirah;TRUE;651;7002;30,29;42;146;69;14;00.04;01.09
2020-05;Palm Jumeirah;Palm Jumeirah;TRUE;637;6852;28,17;41;147;28;83;00.04;01.09
2020-06;Palm Jumeirah;Palm Jumeirah;TRUE;659;7095;30,38;43;16;78;60;00.04;01.09
2020-07;Palm Jumeirah;Palm Jumeirah;TRUE;619;6663;28,88;40;116;51;33;00.04;01.09
2020-08;Palm Jumeirah;Palm Jumeirah;TRUE;645;6943;30,29;42;94;34;35;00.04;01.09
2020-09;Palm Jumeirah;Palm Jumeirah;TRUE;660;7101;29,67;43;43;40;13;00.04;01.09
2020-10;Palm Jumeirah;Palm Jumeirah;TRUE;619;6667;27,38;40;35;49;82;00.04;01.09
2020-11;Palm Jumeirah;Palm Jumeirah;TRUE;651;7011;29,25;42;163;48;52;00.04;01.09
2020-12;Palm Jumeirah;Palm Jumeirah;TRUE;675;7269;30,00;44;50;17;26;00.04;01.09
2021-01;Palm Jumeirah;Palm Jumeirah;TRUE;682;7337;30,67;44;106;61;16;00.04;01.09
2021-02;Palm Jumeirah;Palm Jumeirah;TRUE;654;7040;29,71;43;171;8;77;00.04;01.09
2021-03;Palm Jumeirah;Palm Jumeirah;TRUE;681;7331;32,21;44;178;42;28;00.04;01.09
2021-04;Palm Jumeirah;Palm Jumeirah;TRUE;693;7460;33,63;45;134;56;34;00.04;01.09
2021-05;Palm Jumeirah;Palm Jumeirah;TRUE;687;7395;32,88;45;111;64;54;00.04;01.09
2021-06;Palm Jumeirah;Palm Jumeirah;TRUE;733;7893;34,33;48;112;45;117;00.04;01.09
2021-07;Palm Jumeirah;Palm Jumeirah;TRUE;688;7403;31,08;45;79;27;39;00.04;01.09
2021-08;Palm Jumeirah;Palm Jumeirah;TRUE;717;7719;33,13;47;122;59;30;00.04;01.09
2021-09;Palm Jumeirah;Palm Jumeirah;TRUE;770;8287;34,79;50;34;71;48;00.04;01.09
2021-10;Palm Jumeirah;Palm Jumeirah;TRUE;757;8150;34,54;49;95;19;53;00.04;01.09
2021-11;Palm Jumeirah;Palm Jumeirah;TRUE;769;8278;35,71;50;17;66;87;00.04;01.09
2021-12;Palm Jumeirah;Palm Jumeirah;TRUE;796;8568;36,33;52;73;32;87;00.04;01.09
2022-01;Palm Jumeirah;Palm Jumeirah;TRUE;825;8878;36,79;54;104;54;69;00.04;01.09
2022-02;Palm Jumeirah;Palm Jumeirah;TRUE;867;9328;39,04;56;139;17;37;00.04;01.09
2022-03;Palm Jumeirah;Palm Jumeirah;TRUE;820;8825;39,46;53;107;18;82;00.04;01.09
2022-04;Palm Jumeirah;Palm Jumeirah;TRUE;892;9601;42,63;58;150;16;32;01.04;02.09
2022-05;Palm Jumeirah;Palm Jumeirah;TRUE;908;9775;42,83;59;153;43;110;01.04;02.09
2022-06;Palm Jumeirah;Palm Jumeirah;TRUE;856;9218;39,33;56;144;15;51;01.04;02.09
2022-07;Palm Jumeirah;Palm Jumeirah;TRUE;952;10252;44,88;62;113;56;52;01.04;02.09
2022-08;Palm Jumeirah;Palm Jumeirah;TRUE;964;10380;44,67;63;27;39;119;01.04;02.09
2022-09;Palm Jumeirah;Palm Jumeirah;TRUE;984;10589;45,33;64;64;18;80;01.04;02.09
2022-10;Palm Jumeirah;Palm Jumeirah;TRUE;987;10626;45,13;64;165;47;91;04.04;05.09
2022-11;Palm Jumeirah;Palm Jumeirah;TRUE;1038;11173;46,96;67;93;51;70;04.04;05.09
2022-12;Palm Jumeirah;Palm Jumeirah;TRUE;1010;10875;45,58;66;67;10;26;04.04;05.09
2023-01;Palm Jumeirah;Palm Jumeirah;TRUE;1026;11043;46,79;67;119;65;93;04.04;05.09
2023-02;Palm Jumeirah;Palm Jumeirah;TRUE;1025;11029;48,63;67;44;31;107;04.04;05.09
2023-03;Palm Jumeirah;Palm Jumeirah;TRUE;1062;11427;49,13;69;56;50;12;04.04;05.09
2023-04;Palm Jumeirah;Palm Jumeirah;TRUE;1041;11205;47,58;68;28;37;26;04.04;05.09
2023-05;Palm Jumeirah;Palm Jumeirah;TRUE;1115;12000;50,17;72;35;37;50;04.04;05.09
2023-06;Palm Jumeirah;Palm Jumeirah;TRUE;1104;11885;50,42;72;69;50;65;04.04;05.09
2023-07;Palm Jumeirah;Palm Jumeirah;TRUE;1101;11846;49,00;72;21;37;69;05.04;06.09
2023-08;Palm Jumeirah;Palm Jumeirah;TRUE;1160;12491;53,58;75;110;22;35;05.04;06.09
2023-09;Palm Jumeirah;Palm Jumeirah;TRUE;1135;12213;52,38;74;158;22;10;05.04;06.09
2023-10;Palm Jumeirah;Palm Jumeirah;TRUE;1177;12668;53,13;77;113;58;82;05.04;06.09
2023-11;Palm Jumeirah;Palm Jumeirah;TRUE;1161;12497;54,92;75;159;61;93;05.04;06.09
2023-12;Palm Jumeirah;Palm Jumeirah;TRUE;1223;13165;55,79;80;88;28;103;05.04;06.09
2024-01;Palm Jumeirah;Palm Jumeirah;TRUE;1191;12819;56,88;77;28;49;15;05.04;06.09
2024-02;Palm Jumeirah;Palm Jumeirah;TRUE;1163;12516;53,29;76;116;9;22;05.04;06.09
2024-03;Palm Jumeirah;Palm Jumeirah;TRUE;1194;12855;54,29;78;68;58;56;05.04;06.09
2024-04;Palm Jumeirah;Palm Jumeirah;TRUE;1177;12668;52,17;76;106;58;104;05.04;06.09
2024-05;Palm Jumeirah;Palm Jumeirah;TRUE;1193;12836;53,92;78;102;56;100;05.04;06.09
2024-06;Palm Jumeirah;Palm Jumeirah;TRUE;1165;12536;51,50;76;83;57;104;05.04;06.09
2024-07;Palm Jumeirah;Palm Jumeirah;TRUE;1133;12194;50,63;74;66;34;76;0,211805556;06.15
2024-08;Palm Jumeirah;Palm Jumeirah;TRUE;1186;12765;57,83;77;34;6;13;0,211805556;06.15
2024-09;Palm Jumeirah;Palm Jumeirah;TRUE;1149;12367;52,88;75;111;59;99;0,211805556;06.15
2024-10;Palm Jumeirah;Palm Jumeirah;TRUE;1169;12581;53,42;76;159;63;58;0,211805556;06.15
2024-11;Palm Jumeirah;Palm Jumeirah;TRUE;1127;12134;50,58;73;151;50;43;0,211805556;06.15
2024-12;Palm Jumeirah;Palm Jumeirah;TRUE;1130;12167;50,96;73;91;64;95;0,211805556;06.15
2025-01;Palm Jumeirah;Palm Jumeirah;TRUE;1207;12989;55,71;78;42;39;77;0,211805556;06.15
2025-02;Palm Jumeirah;Palm Jumeirah;TRUE;1146;12332;50,88;74;70;72;108;0,211805556;06.15
2025-03;Palm Jumeirah;Palm Jumeirah;TRUE;1164;12527;52,17;76;94;24;10;0,211805556;06.15
2025-04;Palm Jumeirah;Palm Jumeirah;TRUE;1138;12251;52,42;74;16;59;37;0,211805556;06.15
2025-05;Palm Jumeirah;Palm Jumeirah;TRUE;1125;12107;52,13;73;124;10;36;0,211805556;06.15
2025-06;Palm Jumeirah;Palm Jumeirah;TRUE;1174;12633;50,58;76;33;50;37;0,211805556;06.15
2025-07;Palm Jumeirah;Palm Jumeirah;TRUE;1119;12046;51,83;73;50;52;89;04.00;05.05
2025-08;Palm Jumeirah;Palm Jumeirah;TRUE;1147;12344;53,96;75;172;50;105;04.00;05.05
2025-09;Palm Jumeirah;Palm Jumeirah;TRUE;1182;12726;52,58;77;99;18;18;04.00;05.05
2025-10;Palm Jumeirah;Palm Jumeirah;TRUE;1211;13034;56,63;79;45;19;43;04.00;05.05
2025-11;Palm Jumeirah;Palm Jumeirah;TRUE;1148;12359;52,96;75;125;58;54;04.00;05.05
2025-12;Palm Jumeirah;Palm Jumeirah;TRUE;1128;12145;52,29;73;124;12;117;04.00;05.05
2026-01;Palm Jumeirah;Palm Jumeirah;TRUE;1156;12439;52,75;75;89;32;27;04.00;05.05
